-0.031,0.987,0.018,0.011,-0.015,0.042,41,268,66,-11.447,5.106,27.963
-0.030,0.985,0.015,0.003,-0.007,-0.013,34,271,57,-4.497,4.086,28.524
-0.028,0.983,0.013,-0.009,-0.013,-0.002,41,265,70,-4.507,4.104,28.599
-0.027,0.979,0.013,0.014,0.000,0.034,36,271,61,-4.499,4.090,28.543
-0.032,0.986,0.016,-0.014,-0.007,-0.002,37,270,62,-4.496,4.081,28.516
-0.030,0.982,0.014,0.006,-0.013,0.011,41,278,68,-4.501,4.096,28.568
-0.028,0.978,0.013,0.009,-0.013,0.048,34,267,69,-4.498,4.091,28.557
-0.029,0.980,0.013,0.014,-0.018,0.006,39,268,64,-4.505,4.102,28.599
-0.033,0.980,0.013,-0.009,-0.022,0.048,36,267,67,-4.505,4.096,28.571
-0.028,0.980,0.015,0.011,-0.015,-0.003,38,273,65,-4.503,4.096,28.558
-0.028,0.978,0.015,0.009,-0.018,-0.008,32,267,63,-4.505,4.106,28.614
-0.029,0.978,0.013,0.000,-0.015,0.011,40,275,67,-4.504,4.100,28.583
-0.031,0.983,0.010,-0.002,-0.002,0.044,43,272,64,-4.504,4.097,28.576
-0.032,0.982,0.014,0.002,-0.022,0.002,36,262,65,-4.516,4.134,28.730
-0.031,0.985,0.015,-0.005,-0.022,0.006,45,270,62,-4.504,4.087,28.549
-0.026,0.981,0.012,-0.002,-0.009,0.002,39,265,66,-4.498,4.091,28.543
-0.028,0.983,0.017,0.003,-0.016,0.034,41,276,72,-4.504,4.099,28.583
-0.027,0.981,0.016,-0.002,-0.013,0.006,40,271,69,-4.499,4.085,28.530
-0.031,0.981,0.016,0.017,-0.020,0.077,43,270,66,-4.492,4.078,28.493
-0.027,0.985,0.013,0.003,0.007,0.019,43,268,62,-4.511,4.116,28.642
-0.030,0.978,0.015,0.009,-0.004,0.016,42,273,69,-4.501,4.102,28.587
-0.030,0.983,0.016,0.008,-0.002,0.042,37,266,66,-4.491,4.075,28.487
-0.023,0.985,0.015,0.006,-0.018,0.006,33,266,66,-4.500,4.087,28.527
-0.029,0.978,0.013,-0.005,-0.007,0.013,32,277,61,-4.504,4.098,28.592
-0.030,0.983,0.010,-0.002,-0.009,-0.008,35,276,66,-4.505,4.106,28.604
-0.030,0.981,0.010,-0.009,-0.013,0.019,38,269,65,-4.499,4.085,28.538
-0.027,0.981,0.013,-0.011,-0.002,0.023,38,275,73,-4.496,4.080,28.514
-0.033,0.982,0.017,0.003,0.004,0.011,37,276,60,-4.495,4.079,28.506
-0.026,0.982,0.011,-0.003,0.004,0.003,39,274,66,-4.505,4.096,28.567
-0.028,0.981,0.015,-0.006,-0.022,0.034,44,264,71,-4.501,4.099,28.583
-0.030,0.981,0.011,0.009,-0.020,0.024,40,277,71,-4.504,4.100,28.599
-0.029,0.982,0.012,-0.012,-0.009,0.010,36,273,59,-4.504,4.100,28.599
-0.032,0.981,0.014,-0.002,-0.013,-0.005,45,265,66,-4.501,4.089,28.550
-0.029,0.982,0.018,-0.003,-0.020,-0.035,42,273,73,-4.507,4.112,28.639
-0.028,0.981,0.015,0.023,-0.018,0.019,41,272,62,-4.494,4.080,28.495
-0.027,0.981,0.015,0.009,-0.018,0.021,34,265,73,-4.505,4.103,28.600
-0.028,0.982,0.015,0.002,-0.015,0.032,44,269,65,-4.499,4.085,28.528
-0.030,0.984,0.016,0.011,-0.015,-0.002,33,272,60,-4.506,4.106,28.623
-0.031,0.981,0.012,0.014,-0.024,0.010,37,265,70,-4.510,4.105,28.622
-0.022,0.980,0.014,-0.009,-0.013,0.029,48,264,63,-4.512,4.125,28.686
-0.027,0.983,0.014,-0.003,-0.020,0.044,33,268,60,-4.511,4.121,28.677
-0.028,0.980,0.014,0.009,-0.004,0.032,43,272,58,-4.512,4.126,28.685
-0.028,0.981,0.014,-0.003,-0.013,0.040,40,273,63,-4.500,4.094,28.554
-0.027,0.979,0.013,0.008,-0.015,0.031,32,273,61,-4.503,4.102,28.617
-0.032,0.982,0.016,0.000,-0.015,0.032,43,265,70,-4.502,4.100,28.570
-0.027,0.983,0.015,-0.011,-0.024,0.045,38,277,59,-4.500,4.091,28.558
-0.028,0.984,0.017,0.002,-0.015,0.053,34,267,65,-4.505,4.097,28.574
-0.029,0.985,0.013,0.012,-0.015,-0.003,43,272,66,-4.497,4.085,28.527
-0.030,0.979,0.013,0.011,-0.004,-0.003,36,271,67,-4.498,4.083,28.533
-0.032,0.985,0.014,0.002,-0.009,-0.003,39,272,66,-4.501,4.098,28.589
-0.029,0.974,0.014,0.002,0.000,0.034,41,266,62,-4.498,4.090,28.550
-0.026,0.981,0.016,-0.009,-0.004,0.026,43,272,70,-4.506,4.106,28.613
-0.028,0.981,0.013,-0.011,0.002,-0.052,32,265,65,-4.519,4.142,28.747
