  -0.027,   0.125,   1.144,  -0.294,  -0.816,   0.889,   0.493,  -0.322,   0.629,   -3.958,   -2.865,   36.457,    0.444,    0.019,    0.893,   -0.064,0.538597822189331
   0.209,   0.078,   1.058,  -0.175,  -0.562,   0.861,   0.471,  -0.315,   0.659,   -4.006,   -2.761,   36.537,    0.438,    0.026,    0.897,   -0.058,0.5553319454193115
   0.183,  -0.085,   0.942,   0.442,   0.149,   0.484,   0.507,  -0.357,   0.583,   -3.949,   -2.677,   36.570,    0.433,    0.030,    0.900,   -0.049,0.5730018615722656
   0.093,  -0.075,   1.131,   0.581,   0.352,   0.158,   0.464,  -0.343,   0.598,   -3.799,   -2.658,   36.536,    0.430,    0.033,    0.901,   -0.046,0.5888528823852539
   0.011,  -0.006,   1.012,   0.264,   0.336,  -0.215,   0.486,  -0.343,   0.576,   -3.599,   -2.721,   36.622,    0.431,    0.031,    0.901,   -0.047,0.6054999828338623
  -0.052,   0.035,   1.019,  -0.061,   0.263,  -0.521,   0.457,  -0.343,   0.606,   -3.366,   -2.784,   36.601,    0.434,    0.027,    0.899,   -0.047,0.621959924697876
   0.007,   0.253,   1.121,  -0.584,   0.468,  -0.913,   0.478,  -0.336,   0.644,   -3.221,   -2.788,   36.673,    0.440,    0.023,    0.897,   -0.047,0.6393749713897705
  -0.227,   0.239,   0.981,  -0.191,  -0.108,  -0.614,   0.514,  -0.343,   0.689,   -3.247,   -2.724,   36.714,    0.445,    0.015,    0.894,   -0.050,0.6555478572845459
  -0.026,   0.401,   0.903,   0.410,   0.324,   0.330,   0.493,  -0.336,   0.697,   -3.369,   -2.608,   36.755,    0.445,    0.019,    0.893,   -0.064,0.672360897064209
   0.103,   0.028,   0.894,   0.479,   0.069,   0.967,   0.471,  -0.329,   0.659,   -3.590,   -2.533,   36.687,    0.433,    0.024,    0.898,   -0.071,0.7058429718017578
   0.041,   0.117,   0.904,   0.290,   0.555,   0.678,   0.428,  -0.350,   0.636,   -3.591,   -2.544,   36.673,    0.426,    0.027,    0.901,   -0.072,0.7222278118133545
  -0.260,   0.099,   1.288,   0.008,   0.793,   0.031,   0.449,  -0.294,   0.629,   -3.588,   -2.536,   36.575,    0.421,    0.012,    0.903,   -0.079,0.7559418678283691
  -0.176,   0.215,   1.166,  -0.343,  -0.466,  -0.079,   0.500,  -0.350,   0.674,   -3.666,   -2.481,   36.643,    0.422,    0.007,    0.903,   -0.078,0.772230863571167
  -0.090,   0.058,   1.046,  -0.067,  -0.155,   0.195,   0.420,  -0.308,   0.629,   -3.773,   -2.402,   36.669,    0.422,    0.005,    0.903,   -0.076,0.7888798713684082
  -0.008,   0.144,   0.975,   0.069,  -0.171,   0.333,   0.464,  -0.385,   0.644,   -3.773,   -2.402,   36.669,    0.421,    0.006,    0.904,   -0.075,0.7935738563537598
  -0.009,   0.156,   1.000,   0.153,  -0.036,   0.507,   0.420,  -0.294,   0.568,   -3.903,   -2.305,   36.656,    0.418,    0.007,    0.905,   -0.076,0.8064579963684082
  -0.026,   0.120,   1.082,   0.284,  -0.002,   0.649,   0.435,  -0.336,   0.583,   -4.286,   -2.054,   36.828,    0.409,    0.010,    0.909,   -0.080,0.8560240268707275
